Temps [s];Marche [s/j];Amplitude [°]
2670;3.7;285
2672;1.2;285
2674;2.5;287
2676;4.1;276
2678;1.5;284
2680;2.7;282
2682;1.5;280
2684;3.8;281
2686;2.3;278
2688;3;277
2690;2.1;279
2692;4.1;273
2694;0.6;274
2696;0.5;276
2698;-0.1;278
2700;3.5;272
2702;0.5;275
2704;0.1;276
2706;0.7;276
2708;2.3;278
2710;0;279
2712;0.8;282
2714;2.6;281
2716;1;281
2718;1.7;284
2720;0.7;284
2722;4;283
2724;-0.2;282
2726;1.6;284
2728;1.8;284
2730;3.9;281
2732;0.8;285
2734;1.8;284
2736;3.8;283
2738;1;282
2740;2.2;281
2742;1.1;283
2744;3.8;269
2746;1.2;280
2748;1.3;269
2750;1.1;282
2752;4;280
2754;0.9;280
2756;1.7;282
2758;0.4;282
2760;3;281
2762;-0.4;285
2764;0.7;287
2766;1.6;284
2768;2.6;288
2770;0.5;290
2772;0.7;291
2774;2.9;287
2776;0.3;291
2778;1.7;295
2780;1.7;293
2782;4.1;292
2784;0.2;288
2786;2.1;291
2788;2.3;293
2790;3.2;292
2792;1.2;293
2794;1.8;291
2796;3.7;290
2798;2.1;290
2800;3.4;273
2802;1.6;288
2804;3.5;274
2806;0.8;285
2808;1.6;282
2810;1.7;288
2812;4;286
2814;0.8;273
2816;1.8;288
2818;0.6;289
2820;3.3;285
2822;0.7;291
2824;1;293
2826;1.7;288
2828;2.9;290
2830;1.1;293
2832;1.3;293
2834;3.3;292
2836;0.8;292
2838;2.2;294
2840;2;284
2842;4.9;280
2844;1;278
2846;2.3;290
2848;1.9;293
2850;5.4;284
2852;2.1;288
2854;3;286
2856;4.2;280
2858;2.3;281
2860;2.1;279
2862;0.9;283
2864;3.3;278
2866;0.6;280
2868;1.1;282
2870;0.1;284
2872;4.1;279
2874;0.2;270
2876;0.3;284
2878;0.1;286
2880;4.5;285
2882;0.7;287
2884;0.4;289
2886;1.4;290
2888;3.8;288
2890;0.9;290
2892;2;289
2894;3.9;279
2896;2.9;286
2898;2.5;288
2900;2.7;285
2902;6;281
2904;3.1;279
2906;3.2;276
2908;1.6;274
2910;3.4;271
2912;0.5;269
2914;1.2;272
2916;2;273
2918;2.8;272
2920;1.1;270
2922;-0.4;274
2924;2.6;273
2926;0.5;271
2928;0.3;277
2930;-0.7;278
2932;2.8;277
2934;-0.1;278
2936;0.4;280
2938;0.1;280
2940;4.3;281
2942;0.6;283
2944;0.6;283
2946;1.2;285
2948;3.6;273
2950;0.8;284
2952;1.5;286
2954;3.5;283
2956;2.1;281
2958;3.6;281
2960;2.9;279
2962;6.5;274
2964;0.8;271
2966;1;273
2968;0.6;272
2970;3.9;269
2972;-0.2;273
2974;-0.1;274
2976;1.5;271
2978;2.2;272
2980;-0.6;275
2982;-1.1;277
2984;2;279
2986;0.8;279
2988;0.7;282
2990;0.2;284
2992;4;284
2994;0.1;279
2996;0;285
2998;0;289
3000;4.1;288
3002;1;290
3004;0;292
3006;1.1;282
3008;4;292
3010;0.3;291
3012;2.2;292
3014;4.2;288
3016;3.4;284
3018;3;273
3020;1.9;286
3022;6.2;279
3024;0.8;281
3026;1.3;278
3028;0.4;284
3030;3.2;285
3032;-0.4;285
3034;0.8;287
3036;2.4;286
3038;1.9;287
3040;1.5;288
3042;0.6;289
3044;2.8;289
3046;1.9;287
3048;0.7;287
3050;-0.1;292
3052;3;284
3054;1.1;293
3056;2.1;291
3058;1.5;289
3060;4.7;289
3062;1.3;294
3064;1.4;297
3066;2.6;295
3068;4.9;295
3070;2.5;290
3072;2.1;294
3074;4;291
3076;1.9;284
3078;2;291
3080;1;291
3082;4.2;290
3084;0.7;290
3086;0.7;292
3088;0.8;293
3090;3.7;291
3092;0;281
3094;1;295
3096;2.7;294
3098;2.8;292
3100;1.4;290
3102;1.1;293
3104;3.1;297
3106;2.5;293
3108;1.9;297
3110;1.8;297
3112;5;298
3114;1.4;295
3116;3;296
3118;2.2;297
3120;5.6;293
3122;1.4;293
3124;2;292
3126;2.9;290
3128;5.1;288
3130;2;288
3132;1.5;288
3134;3.3;286
3136;2.2;285
3138;1.9;286
3140;1.2;289
3142;4.5;285
3144;1;278
3146;2.3;287
3148;1.6;275
